"T.ms","PAA.X.radsec^2","PAA.Y.radsec^2","PAA.Z.radsec^2","PAA.R.radsec^2","PAV.X.radsec","PAV.Y.radsec","PAV.Z.radsec","PAV.R.radsec","PLA.X.msec^2","PLA.Y.msec^2","PLA.Z.msec^2","PLA.R.msec^2","PLV.X.msec","PLV.Y.msec","PLV.Z.msec","PLV.R.msec"
  0.0000,   17.122,  -8.911,  -1.897,  19.394,    0.164,  -2.219,   0.031,   2.225,  -10.033, -21.951,   1.352,  24.173,    0.000,   0.000,   0.000,   0.000
  0.3125,   26.592, -13.655,  -2.915,  30.035,    0.175,  -2.224,   0.030,   2.232,  -10.093, -21.841,   1.268,  24.094,    0.000,   0.000,   0.000,   0.000
  0.6250,   37.620, -19.111,  -4.091,  42.394,    0.190,  -2.232,   0.028,   2.240,  -10.165, -21.755,   1.158,  24.040,    0.000,   0.000,   0.000,   0.000
  0.9375,   49.511, -24.900,  -5.355,  55.677,    0.208,  -2.241,   0.026,   2.251,  -10.247, -21.719,   1.018,  24.037,    0.000,   0.000,   0.000,   0.000
  1.2500,   61.592, -30.660,  -6.655,  69.122,    0.228,  -2.251,   0.023,   2.263,  -10.343, -21.760,   0.848,  24.108,    0.000,   0.000,   0.000,   0.000
  1.5625,   73.413, -36.149,  -7.983,  82.219,    0.252,  -2.263,   0.020,   2.277,  -10.456, -21.902,   0.643,  24.279,    0.000,   0.000,   0.000,   0.000
  1.8750,   84.751, -41.256,  -9.369,  94.723,    0.278,  -2.276,   0.017,   2.293,  -10.595, -22.161,   0.398,  24.567,    0.000,   0.000,   0.000,   0.000
  2.1875,   95.556, -45.962, -10.870, 106.591,    0.307,  -2.291,   0.014,   2.311,  -10.768, -22.544,   0.106,  24.984,    0.000,   0.000,   0.000,   0.000
  2.5000,  105.896, -50.317, -12.559, 117.913,    0.340,  -2.306,   0.011,   2.331,  -10.984, -23.051,  -0.245,  25.536,    0.000,   0.000,   0.000,   0.000
  2.8125,  115.914, -54.410, -14.513, 128.869,    0.375,  -2.322,   0.006,   2.352,  -11.250, -23.675,  -0.665,  26.221,    0.000,   0.000,   0.000,   0.000
  3.1250,  125.790, -58.344, -16.805, 139.677,    0.412,  -2.340,   0.002,   2.376,  -11.567, -24.405,  -1.166,  27.033,    0.000,   0.000,   0.000,   0.000
  3.4375,  135.721, -62.220, -19.500, 150.571,    0.453,  -2.358,  -0.004,   2.402,  -11.938, -25.229,  -1.756,  27.966,    0.000,   0.000,   0.000,   0.000
  3.7500,  145.897, -66.122, -22.649, 161.775,    0.497,  -2.378,  -0.010,   2.429,  -12.359, -26.135,  -2.440,  29.012,    0.000,   0.000,   0.000,   0.000
  4.0625,  156.496, -70.113, -26.292, 173.488,    0.544,  -2.399,  -0.018,   2.460,  -12.827, -27.115,  -3.217,  30.168,    0.000,   0.000,   0.000,   0.000
  4.3750,  167.670, -74.228, -30.455, 185.878,    0.594,  -2.421,  -0.026,   2.493,  -13.338, -28.162,  -4.081,  31.427,    0.000,   0.000,   0.000,   0.000
  4.6875,  179.546, -78.478, -35.150, 199.076,    0.648,  -2.445,  -0.036,   2.530,  -13.886, -29.271,  -5.014,  32.783,    0.000,   0.000,   0.000,   0.000
  5.0000,  192.224, -82.850, -40.376, 213.177,    0.706,  -2.470,  -0.048,   2.569,  -14.467, -30.432,  -5.997,  34.225,    0.000,   0.000,   0.000,   0.000
  5.3125,  205.778, -87.319, -46.120, 228.247,    0.768,  -2.497,  -0.062,   2.613,  -15.076, -31.633,  -7.007,  35.736,    0.000,   0.000,   0.000,   0.000
  5.6250,  220.264, -91.854, -52.369, 244.327,    0.834,  -2.525,  -0.077,   2.660,  -15.712, -32.859,  -8.023,  37.295,    0.000,   0.000,   0.000,   0.000
  5.9375,  235.721, -96.425, -59.113, 261.450,    0.905,  -2.554,  -0.095,   2.711,  -16.373, -34.090,  -9.028,  38.881,    0.000,   0.000,   0.000,   0.000
  6.2500,  252.173,-101.004, -66.361, 279.637,    0.981,  -2.585,  -0.115,   2.767,  -17.060, -35.312, -10.015,  40.475,    0.000,   0.000,   0.000,   0.000
  6.5625,  269.622,-105.566, -74.150, 298.895,    1.062,  -2.617,  -0.137,   2.828,  -17.772, -36.511, -10.988,  42.067,    0.000,   0.000,   0.000,   0.000
  6.8750,  288.036,-110.078, -82.551, 319.213,    1.148,  -2.651,  -0.162,   2.893,  -18.512, -37.684, -11.959,  43.655,    0.000,   0.000,   0.000,   0.000
  7.1875,  307.334,-114.498, -91.664, 340.538,    1.240,  -2.686,  -0.189,   2.964,  -19.278, -38.835, -12.945,  45.248,    0.000,   0.000,   0.000,   0.000
  7.5000,  327.379,-118.767,-101.608, 362.776,    1.339,  -2.722,  -0.220,   3.041,  -20.070, -39.976, -13.966,  46.861,    0.000,   0.000,   0.000,   0.000
  7.8125,  347.979,-122.816,-112.502, 385.785,    1.444,  -2.759,  -0.253,   3.125,  -20.886, -41.126, -15.034,  48.514,    0.000,   0.000,   0.000,   0.000
  8.1250,  368.900,-126.561,-124.447, 409.380,    1.556,  -2.798,  -0.289,   3.215,  -21.725, -42.304, -16.156,  50.226,    0.000,   0.000,   0.000,   0.000
  8.4375,  389.877,-129.918,-137.508, 433.349,    1.674,  -2.839,  -0.329,   3.312,  -22.589, -43.526, -17.328,  52.010,    0.000,   0.000,   0.000,   0.000
  8.7500,  410.630,-132.811,-151.708, 457.461,    1.799,  -2.880,  -0.374,   3.416,  -23.481, -44.803, -18.539,  53.874,    0.000,   0.000,   0.000,   0.000
  9.0625,  430.869,-135.184,-167.026, 481.478,    1.931,  -2.922,  -0.423,   3.528,  -24.412, -46.137, -19.776,  55.818,    0.000,   0.000,   0.000,   0.000
  9.3750,  450.305,-137.002,-183.405, 505.154,    2.068,  -2.965,  -0.478,   3.647,  -25.392, -47.520, -21.027,  57.836,    0.000,   0.000,   0.000,   0.000
  9.6875,  468.643,-138.256,-200.761, 528.248,    2.212,  -3.008,  -0.538,   3.773,  -26.434, -48.932, -22.285,  59.914,    0.000,   0.000,   0.000,   0.000
 10.0000,  485.596,-138.948,-219.000, 550.519,    2.361,  -3.052,  -0.603,   3.905,  -27.543, -50.345, -23.552,  62.031,    0.000,   0.000,   0.000,   0.000
 10.3125,  500.888,-139.084,-238.021, 571.740,    2.516,  -3.095,  -0.675,   4.045,  -28.715, -51.724, -24.834,  64.161,   -0.009,  -0.016,  -0.008,   0.020
 10.6250,  514.263,-138.663,-257.727, 591.707,    2.675,  -3.138,  -0.752,   4.192,  -29.934, -53.032, -26.144,  66.271,   -0.018,  -0.032,  -0.016,   0.040
 10.9375,  525.495,-137.669,-278.027, 610.243,    2.838,  -3.181,  -0.836,   4.344,  -31.171, -54.233, -27.492,  68.328,   -0.028,  -0.049,  -0.024,   0.061
 11.2500,  534.394,-136.063,-298.830, 627.208,    3.004,  -3.223,  -0.926,   4.503,  -32.393, -55.299, -28.887,  70.298,   -0.037,  -0.066,  -0.033,   0.083
 11.5625,  540.805,-133.786,-320.047, 642.494,    3.173,  -3.265,  -1.023,   4.666,  -33.559, -56.207, -30.331,  72.149,   -0.048,  -0.084,  -0.042,   0.105
 11.8750,  544.613,-130.761,-341.576, 656.030,    3.343,  -3.307,  -1.126,   4.835,  -34.637, -56.943, -31.817,  73.855,   -0.058,  -0.101,  -0.052,   0.128
 12.1875,  545.746,-126.903,-363.301, 667.780,    3.514,  -3.347,  -1.235,   5.008,  -35.598, -57.505, -33.327,  75.397,   -0.069,  -0.119,  -0.062,   0.151
 12.5000,  544.178,-122.128,-385.079, 677.739,    3.685,  -3.386,  -1.352,   5.184,  -36.429, -57.897, -34.835,  76.763,   -0.081,  -0.137,  -0.073,   0.175
 12.8125,  539.935,-116.365,-406.735, 685.933,    3.855,  -3.424,  -1.475,   5.363,  -37.129, -58.130, -36.311,  77.949,   -0.092,  -0.155,  -0.084,   0.199
 13.1250,  533.096,-109.565,-428.053, 692.406,    4.024,  -3.460,  -1.605,   5.544,  -37.709, -58.220, -37.717,  78.956,   -0.104,  -0.174,  -0.095,   0.223
 13.4375,  523.797,-101.714,-448.765, 697.208,    4.190,  -3.493,  -1.741,   5.726,  -38.189, -58.187, -39.020,  79.792,   -0.116,  -0.192,  -0.107,   0.248
