"T.ms","PAA.X.radsec^2","PAA.Y.radsec^2","PAA.Z.radsec^2","PAA.R.radsec^2","PAV.X.radsec","PAV.Y.radsec","PAV.Z.radsec","PAV.R.radsec","PLA.X.msec^2","PLA.Y.msec^2","PLA.Z.msec^2","PLA.R.msec^2","PLV.X.msec","PLV.Y.msec","PLV.Z.msec","PLV.R.msec"
  0.0000,   14.847, -32.163,  -7.108,  36.130,    0.952,  -3.711,   1.453,   4.097,  -29.184, -32.182,   4.902,  43.719,    0.000,   0.000,   0.000,   0.000
  0.3125,   22.396, -47.055, -11.060,  53.274,    0.962,  -3.733,   1.449,   4.118,  -28.786, -32.131,   4.248,  43.348,    0.000,   0.000,   0.000,   0.000
  0.6250,   30.941, -63.324, -15.668,  72.200,    0.974,  -3.760,   1.444,   4.144,  -28.341, -32.075,   3.497,  42.945,    0.000,   0.000,   0.000,   0.000
  0.9375,   39.821, -79.423, -20.640,  91.213,    0.989,  -3.792,   1.436,   4.174,  -27.884, -32.018,   2.696,  42.543,    0.000,   0.000,   0.000,   0.000
  1.2500,   48.412, -93.964, -25.685, 108.778,    1.006,  -3.827,   1.428,   4.207,  -27.455, -31.965,   1.894,  42.179,    0.000,   0.000,   0.000,   0.000
  1.5625,   56.294,-106.107, -30.600, 123.952,    1.024,  -3.864,   1.418,   4.242,  -27.092, -31.918,   1.135,  41.881,    0.000,   0.000,   0.000,   0.000
  1.8750,   63.251,-115.555, -35.280, 136.376,    1.045,  -3.903,   1.407,   4.278,  -26.828, -31.882,   0.447,  41.670,    0.000,   0.000,   0.000,   0.000
  2.1875,   69.215,-122.410, -39.690, 146.118,    1.066,  -3.942,   1.395,   4.316,  -26.685, -31.860,  -0.161,  41.559,    0.000,   0.000,   0.000,   0.000
  2.5000,   74.229,-127.027, -43.845, 153.519,    1.090,  -3.982,   1.381,   4.353,  -26.670, -31.859,  -0.694,  41.554,    0.000,   0.000,   0.000,   0.000
  2.8125,   78.409,-129.883, -47.782, 159.062,    1.114,  -4.022,   1.367,   4.392,  -26.784, -31.886,  -1.169,  41.659,    0.000,   0.000,   0.000,   0.000
  3.1250,   81.925,-131.483, -51.549, 163.269,    1.139,  -4.062,   1.352,   4.430,  -27.013, -31.952,  -1.609,  41.871,    0.000,   0.000,   0.000,   0.000
  3.4375,   84.979,-132.284, -55.194, 166.634,    1.165,  -4.102,   1.335,   4.468,  -27.339, -32.062,  -2.034,  42.185,    0.000,   0.000,   0.000,   0.000
  3.7500,   87.778,-132.659, -58.761, 169.576,    1.192,  -4.142,   1.317,   4.507,  -27.741, -32.223,  -2.463,  42.590,    0.000,   0.000,   0.000,   0.000
  4.0625,   90.521,-132.878, -62.285, 172.424,    1.219,  -4.182,   1.299,   4.546,  -28.191, -32.432,  -2.905,  43.070,    0.000,   0.000,   0.000,   0.000
  4.3750,   93.373,-133.116, -65.796, 175.407,    1.248,  -4.223,   1.279,   4.585,  -28.668, -32.686,  -3.366,  43.607,    0.000,   0.000,   0.000,   0.000
  4.6875,   96.459,-133.469, -69.317, 178.671,    1.277,  -4.264,   1.257,   4.625,  -29.149, -32.977,  -3.848,  44.181,    0.000,   0.000,   0.000,   0.000
  5.0000,   99.851,-133.977, -72.880, 182.295,    1.307,  -4.305,   1.235,   4.666,  -29.617, -33.292,  -4.351,  44.772,    0.000,   0.000,   0.000,   0.000
  5.3125,  103.569,-134.640, -76.524, 186.308,    1.338,  -4.347,   1.211,   4.707,  -30.063, -33.621,  -4.875,  45.364,    0.000,   0.000,   0.000,   0.000
  5.6250,  107.591,-135.443, -80.310, 190.711,    1.370,  -4.389,   1.187,   4.749,  -30.480, -33.952,  -5.423,  45.948,    0.000,   0.000,   0.000,   0.000
  5.9375,  111.856,-136.360, -84.310, 195.484,    1.404,  -4.432,   1.161,   4.792,  -30.873, -34.275,  -5.999,  46.518,    0.000,   0.000,   0.000,   0.000
