"T.ms","PAA.X.radsec^2","PAA.Y.radsec^2","PAA.Z.radsec^2","PAA.R.radsec^2","PAV.X.radsec","PAV.Y.radsec","PAV.Z.radsec","PAV.R.radsec","PLA.X.msec^2","PLA.Y.msec^2","PLA.Z.msec^2","PLA.R.msec^2","PLV.X.msec","PLV.Y.msec","PLV.Z.msec","PLV.R.msec"
  0.0000, -113.126, -49.295, -12.679, 124.049,   -3.422,  -1.875,   0.278,   3.912,   -4.878,  11.864, -11.446,  17.192,    0.000,   0.000,   0.000,   0.000
  0.3125, -164.259, -68.171, -16.096, 178.571,   -3.494,  -1.909,   0.274,   3.991,   -4.492,  11.025, -12.994,  17.623,    0.000,   0.000,   0.000,   0.000
  0.6250, -219.540, -87.038, -18.722, 236.904,   -3.584,  -1.949,   0.267,   4.089,   -4.084,  10.108, -14.666,  18.273,    0.000,   0.000,   0.000,   0.000
  0.9375, -273.252,-103.138, -19.620, 292.727,   -3.689,  -1.994,   0.260,   4.202,   -3.700,   9.195, -16.300,  19.077,    0.000,   0.000,   0.000,   0.000
  1.2500, -320.008,-114.012, -17.822, 340.179,   -3.807,  -2.040,   0.251,   4.327,   -3.395,   8.382, -17.724,  19.898,    0.000,   0.000,   0.000,   0.000
  1.5625, -356.102,-118.078, -12.511, 375.376,   -3.933,  -2.086,   0.242,   4.459,   -3.221,   7.762, -18.779,  20.574,    0.000,   0.000,   0.000,   0.000
  1.8750, -379.629,-114.640,  -3.139, 396.573,   -4.066,  -2.131,   0.234,   4.596,   -3.222,   7.412, -19.350,  20.970,    0.000,   0.000,   0.000,   0.000
  2.1875, -390.197,-103.707,  10.472, 403.880,   -4.200,  -2.171,   0.229,   4.734,   -3.429,   7.389, -19.372,  21.015,    0.000,   0.000,   0.000,   0.000
  2.5000, -388.662, -85.863,  28.052, 399.021,   -4.333,  -2.206,   0.229,   4.868,   -3.860,   7.729, -18.837,  20.723,    0.000,   0.000,   0.000,   0.000
  2.8125, -376.882, -62.164,  48.869, 385.088,   -4.461,  -2.234,   0.236,   4.995,   -4.516,   8.443, -17.786,  20.199,    0.000,   0.000,   0.000,   0.000
  3.1250, -357.456, -34.041,  71.796, 366.181,   -4.579,  -2.251,   0.253,   5.109,   -5.387,   9.521, -16.303,  19.633,    0.000,   0.000,   0.000,   0.000
  3.4375, -333.408,  -3.181,  95.478, 346.825,   -4.686,  -2.258,   0.281,   5.209,   -6.447,  10.931, -14.502,  19.271,    0.000,   0.000,   0.000,   0.000
  3.7500, -307.825,  28.635, 118.548, 331.104,   -4.779,  -2.251,   0.319,   5.293,   -7.660,  12.620, -12.515,  19.354,    0.000,   0.000,   0.000,   0.000
  4.0625, -283.493,  59.694, 139.851, 321.698,   -4.862,  -2.234,   0.365,   5.363,   -8.977,  14.518, -10.482,  20.031,    0.000,   0.000,   0.000,   0.000
  4.3750, -262.612,  88.514, 158.613, 319.308,   -4.937,  -2.205,   0.418,   5.423,  -10.345,  16.543,  -8.536,  21.296,    0.000,   0.000,   0.000,   0.000
  4.6875, -246.621, 113.962, 174.528, 322.908,   -5.006,  -2.168,   0.476,   5.476,  -11.702,  18.606,  -6.799,  23.007,    0.000,   0.000,   0.000,   0.000
  5.0000, -236.179, 135.318, 187.735, 330.660,   -5.074,  -2.123,   0.536,   5.526,  -12.990,  20.623,  -5.368,  24.957,    0.000,   0.000,   0.000,   0.000
  5.3125, -231.264, 152.279, 198.716, 340.823,   -5.142,  -2.074,   0.598,   5.577,  -14.157,  22.522,  -4.312,  26.949,   -0.004,   0.007,  -0.002,   0.008
  5.6250, -231.366, 164.912, 208.149, 352.210,   -5.212,  -2.022,   0.661,   5.630,  -15.160,  24.248,  -3.666,  28.831,   -0.009,   0.014,  -0.003,   0.017
  5.9375, -235.697, 173.570, 216.768, 364.236,   -5.285,  -1.967,   0.726,   5.686,  -15.972,  25.773,  -3.431,  30.514,   -0.014,   0.022,  -0.004,   0.026
  6.2500, -243.376, 178.805, 225.238, 376.743,   -5.361,  -1.911,   0.793,   5.747,  -16.583,  27.089,  -3.579,  31.962,   -0.019,   0.030,  -0.005,   0.036
  6.5625, -253.559, 181.286, 234.092, 389.815,   -5.441,  -1.854,   0.862,   5.812,  -16.994,  28.213,  -4.054,  33.185,   -0.024,   0.039,  -0.006,   0.046
  6.8750, -265.501, 181.729, 243.696, 403.614,   -5.523,  -1.798,   0.935,   5.883,  -17.223,  29.180,  -4.784,  34.220,   -0.029,   0.048,  -0.008,   0.057
  7.1875, -278.582, 180.852, 254.252, 418.281,   -5.610,  -1.742,   1.011,   5.960,  -17.296,  30.032,  -5.689,  35.120,   -0.035,   0.057,  -0.009,   0.067
  7.5000, -292.286, 179.332, 265.825, 433.882,   -5.699,  -1.686,   1.092,   6.043,  -17.243,  30.813,  -6.687,  35.937,   -0.040,   0.066,  -0.011,   0.078
  7.8125, -306.172, 177.781, 278.380, 450.381,   -5.793,  -1.632,   1.176,   6.132,  -17.098,  31.564,  -7.704,  36.714,   -0.046,   0.076,  -0.013,   0.090
  8.1250, -319.833, 176.732, 291.823, 467.641,   -5.891,  -1.578,   1.265,   6.228,  -16.891,  32.314,  -8.681,  37.482,   -0.051,   0.086,  -0.016,   0.101
  8.4375, -332.871, 176.627, 306.022, 485.438,   -5.993,  -1.524,   1.358,   6.331,  -16.648,  33.084,  -9.571,  38.253,   -0.056,   0.096,  -0.019,   0.113
