"T.ms","PAA.X.radsec^2","PAA.Y.radsec^2","PAA.Z.radsec^2","PAA.R.radsec^2","PAV.X.radsec","PAV.Y.radsec","PAV.Z.radsec","PAV.R.radsec","PLA.X.msec^2","PLA.Y.msec^2","PLA.Z.msec^2","PLA.R.msec^2","PLV.X.msec","PLV.Y.msec","PLV.Z.msec","PLV.R.msec"
  0.0000,   14.032, -25.852,   5.841,  29.989,    1.693,  -3.412,   1.266,   4.013,  -15.379, -27.528,  -0.151,  31.533,    0.000,   0.000,   0.000,   0.000
  0.3125,   21.463, -38.623,   8.593,  45.014,    1.701,  -3.429,   1.269,   4.033,  -14.948, -27.538,  -0.509,  31.338,    0.000,   0.000,   0.000,   0.000
  0.6250,   29.990, -52.927,  11.618,  61.933,    1.713,  -3.450,   1.274,   4.057,  -14.486, -27.582,  -0.960,  31.170,    0.000,   0.000,   0.000,   0.000
  0.9375,   38.996, -67.577,  14.626,  79.380,    1.726,  -3.476,   1.279,   4.086,  -14.036, -27.671,  -1.495,  31.064,    0.000,   0.000,   0.000,   0.000
  1.2500,   47.866, -81.459,  17.332,  96.058,    1.742,  -3.505,   1.285,   4.119,  -13.642, -27.814,  -2.097,  31.050,    0.000,   0.000,   0.000,   0.000
  1.5625,   56.147, -93.842,  19.529, 111.087,    1.761,  -3.536,   1.292,   4.156,  -13.345, -28.014,  -2.743,  31.152,    0.000,   0.000,   0.000,   0.000
  1.8750,   63.566,-104.378,  21.106, 124.020,    1.781,  -3.570,   1.299,   4.196,  -13.172, -28.274,  -3.409,  31.377,    0.000,   0.000,   0.000,   0.000
  2.1875,   69.999,-113.010,  22.027, 134.745,    1.803,  -3.606,   1.307,   4.238,  -13.139, -28.589,  -4.072,  31.726,    0.000,   0.000,   0.000,   0.000
  2.5000,   75.433,-119.879,  22.325, 143.386,    1.827,  -3.644,   1.314,   4.283,  -13.247, -28.958,  -4.714,  32.191,    0.000,   0.000,   0.000,   0.000
  2.8125,   79.942,-125.243,  22.088, 150.215,    1.852,  -3.682,   1.322,   4.328,  -13.488, -29.377,  -5.320,  32.761,    0.000,   0.000,   0.000,   0.000
  3.1250,   83.661,-129.417,  21.435, 155.588,    1.878,  -3.722,   1.329,   4.375,  -13.843, -29.844,  -5.888,  33.421,    0.000,   0.000,   0.000,   0.000
